195.07,-666
195.34,-666
195.61,-666
195.88,3
196.15,-128
196.42,-97
196.69,-104
196.96,-99
197.23,-92
197.5,-104
197.77,-97
198.04,-130
198.31,-114
198.58,-95
198.85,-87
199.12,-139
199.39,-124
199.66,-116
199.93,-118
200.2,-119
200.47,-108
200.74,-111
201.01,-97
201.28,-151
201.55,-111
201.82,-113
202.09,-82
202.36,-108
202.62,-102
202.89,-103
203.16,-134
203.43,-141
203.7,-97
203.97,-117
204.24,-129
204.51,-122
204.78,-81
205.05,-145
205.32,-118
205.59,-70
205.86,-109
206.13,-129
206.4,-133
206.67,-98
206.94,-84
207.21,-92
207.48,-128
207.75,-115
208.02,-99
208.29,-137
208.56,-123
208.83,-116
209.1,-116
209.37,-136
209.64,-133
209.91,-120
210.18,-115
210.45,-102
210.72,-88
210.99,-133
211.26,-102
211.53,-114
211.8,-122
212.07,-103
212.34,-115
212.61,-135
212.88,-122
213.14,-117
213.41,-104
213.68,-128
213.95,-130
214.22,-132
214.49,-97
214.76,-116
215.03,-94
215.3,-106
215.57,-129
215.84,-166
216.11,-127
216.38,-140
216.65,-99
216.92,-135
217.19,-128
217.46,-141
217.73,-124
218,-113
218.27,-103
218.54,-125
218.8,-119
219.07,-108
219.34,-124
219.61,-98
219.88,-135
220.15,-107
220.42,-152
220.69,-131
220.96,-136
221.23,-95
221.5,-127
221.77,-127
222.04,-127
222.31,-117
222.58,-92
222.85,-108
223.12,-125
223.38,-105
223.65,-114
223.92,-129
224.19,-114
224.46,-119
224.73,-132
225,-112
225.27,-125
225.54,-117
225.81,-106
226.08,-95
226.35,-78
226.62,-114
226.89,-135
227.15,-119
227.42,-121
227.69,-122
227.96,-127
228.23,-109
228.5,-135
228.77,-98
229.04,-112
229.31,-156
229.58,-118
229.85,-112
230.12,-101
230.38,-93
230.65,-98
230.92,-117
231.19,-120
231.46,-122
231.73,-127
232,-101
232.27,-122
232.54,-120
232.81,-134
233.08,-72
233.35,-114
233.61,-111
233.88,-97
234.15,-100
234.42,-115
234.69,-133
234.96,-131
235.23,-120
235.5,-84
235.77,-85
236.04,-121
236.3,-103
236.57,-117
236.84,-98
237.11,-144
237.38,-109
237.65,-127
237.92,-115
238.19,-89
238.46,-99
238.73,-80
238.99,-100
239.26,-108
239.53,-81
239.8,-89
240.07,-131
240.34,-109
240.61,-119
240.88,-96
241.15,-91
241.41,-99
241.68,-109
241.95,-114
242.22,-113
242.49,-118
242.76,-103
243.03,-117
243.3,-143
243.56,-127
243.83,-117
244.1,-88
244.37,-92
244.64,-55
244.91,-78
245.18,-134
245.45,-105
245.71,-82
245.98,-114
246.25,-127
246.52,-128
246.79,-120
247.06,-109
247.33,-102
247.6,-145
247.86,-110
248.13,-101
248.4,-96
248.67,-119
248.94,-137
249.21,-97
249.48,-114
249.75,-123
250.01,-110
250.28,-103
250.55,-155
250.82,-113
251.09,-144
251.36,-79
251.63,-90
251.89,-116
252.16,-122
252.43,-103
252.7,-124
252.97,-108
253.24,-102
253.51,-133
253.77,-113
254.04,-99
254.31,-92
254.58,-122
254.85,-122
255.12,-115
255.38,-93
255.65,-125
255.92,-119
256.19,-90
256.46,-109
256.73,-125
257,-100
257.26,-113
257.53,-115
257.8,-114
258.07,-146
258.34,-117
258.61,-124
258.87,-140
259.14,-105
259.41,-116
259.68,-102
259.95,-122
260.22,-117
260.48,-94
260.75,-129
261.02,-145
261.29,-115
261.56,-117
261.83,-110
262.09,-128
262.36,-117
262.63,-96
262.9,-105
263.17,-123
263.44,-116
263.7,-113
263.97,-115
264.24,-100
264.51,-102
264.78,-111
265.05,-104
265.31,-94
265.58,-128
265.85,-98
266.12,-116
266.39,-106
266.65,-127
266.92,-73
267.19,-120
267.46,-119
267.73,-100
268,-120
268.26,-101
268.53,-101
268.8,-80
269.07,-113
269.34,-119
269.6,-93
269.87,-141
270.14,-116
270.41,-113
270.68,-134
270.94,-128
271.21,-89
271.48,-84
271.75,-137
272.02,-124
272.28,-125
272.55,-122
272.82,-131
273.09,-101
273.36,-108
273.62,-109
273.89,-79
274.16,-85
274.43,-95
274.7,-84
274.96,-115
275.23,-98
275.5,-113
275.77,-108
276.04,-110
276.3,-94
276.57,-108
276.84,-118
277.11,-119
277.38,-64
277.64,-114
277.91,-88
278.18,-129
278.45,-133
278.71,-117
278.98,-98
279.25,-114
279.52,-128
279.79,-82
280.05,-114
280.32,-111
280.59,-139
280.86,-88
281.13,-102
281.39,-149
281.66,-87
281.93,-96
282.2,-126
282.46,-97
282.73,-93
283,-80
283.27,-118
283.53,-80
283.8,-117
284.07,-102
284.34,-97
284.61,-94
284.87,-107
285.14,-93
285.41,-87
285.68,-106
285.94,-103
286.21,-106
286.48,-64
286.75,-111
287.01,-89
287.28,-87
287.55,-118
287.82,-108
288.08,-135
288.35,-130
288.62,-90
288.89,-105
289.16,-111
289.42,-90
289.69,-92
289.96,-98
290.23,-121
290.49,-99
290.76,-82
291.03,-114
291.3,-105
291.56,-108
291.83,-100
292.1,-128
292.37,-116
292.63,-96
292.9,-133
293.17,-119
293.44,-114
293.7,-105
293.97,-115
294.24,-94
294.5,-130
294.77,-95
295.04,-88
295.31,-104
295.57,-103
295.84,-98
296.11,-98
296.38,-131
296.64,-118
296.91,-99
297.18,-133
297.45,-99
297.71,-92
297.98,-106
298.25,-121
298.52,-66
298.78,-75
299.05,-91
299.32,-71
299.58,-91
299.85,-82
300.12,-105
300.39,-126
300.65,-125
300.92,-94
301.19,-79
301.46,-105
301.72,-107
301.99,-112
302.26,-92
302.52,-91
302.79,-98
303.06,-61
303.33,-98
303.59,-102
303.86,-101
304.13,-88
304.39,-72
304.66,-79
304.93,-129
305.2,-95
305.46,-72
305.73,-91
306,-59
306.26,-98
306.53,-93
306.8,-105
307.06,-100
307.33,-91
307.6,-112
307.87,-114
308.13,-117
308.4,-101
308.67,-73
308.93,-93
309.2,-121
309.47,-109
309.74,-102
310,-118
310.27,-118
310.54,-109
310.8,-75
311.07,-96
311.34,-103
311.6,-135
311.87,-98
312.14,-105
312.4,-109
312.67,-116
312.94,-96
313.21,-109
313.47,-102
313.74,-98
314.01,-84
314.27,-80
314.54,-107
314.81,-92
315.07,-129
315.34,-114
315.61,-97
315.87,-105
316.14,-101
316.41,-81
316.67,-76
316.94,-121
317.21,-114
317.47,-69
317.74,-121
318.01,-108
318.27,-90
318.54,-109
318.81,-112
319.08,-112
319.34,-124
319.61,-78
319.88,-139
320.14,-102
320.41,-84
320.68,-104
320.94,-114
321.21,-98
321.48,-115
321.74,-118
322.01,-102
322.28,-140
322.54,-84
322.81,-102
323.08,-114
323.34,-86
323.61,-74
323.88,-119
324.14,-111
324.41,-87
324.67,-108
324.94,-91
325.21,-118
325.47,-80
325.74,-122
326.01,-91
326.27,-130
326.54,-109
326.81,-74
327.07,-89
327.34,-96
327.61,-96
327.87,-85
328.14,-112
328.41,-126
328.67,-112
328.94,-150
329.21,-100
329.47,-110
329.74,-122
330,-160
330.27,-135
330.54,-76
330.8,-111
331.07,-94
331.34,-103
331.6,-97
331.87,-95
332.14,-79
332.4,-118
332.67,-88
332.93,-99
333.2,-92
333.47,-132
333.73,-109
334,-106
334.27,-109
334.53,-150
334.8,-91
335.07,-106
335.33,-128
335.6,-101
335.86,-82
336.13,-101
336.4,-69
336.66,-99
336.93,-124
337.2,-98
337.46,-88
337.73,-100
337.99,-126
338.26,-106
338.53,-132
338.79,-119
339.06,-119
339.32,-78
339.59,-87
339.86,-109
340.12,-110
340.39,-84
340.66,-108
340.92,-122
341.19,-112
341.45,-100
341.72,-98
341.99,-103
342.25,-80
342.52,-92
342.78,-85
343.05,-118
343.32,-108
343.58,-85
343.85,-69
344.11,-97
344.38,-114
344.65,-121
344.91,-120
345.18,-96
345.44,-127
345.71,-136
345.98,-96
346.24,-109
346.51,-121
346.77,-90
347.04,-80
347.31,-111
347.57,-110
347.84,-86
348.1,-139
348.37,-124
348.64,-97
348.9,-111
349.17,-113
349.43,-110
349.7,-98
349.96,-158
350.23,-141
350.5,-123
350.76,-134
351.03,-83
351.29,-107
351.56,-90
351.83,-114
352.09,-92
352.36,-94
352.62,-113
352.89,-111
353.15,-89
353.42,-108
353.69,-124
353.95,-124
354.22,-80
354.48,-154
354.75,-124
355.01,-115
355.28,-97
355.55,-94
355.81,-77
356.08,-86
356.34,-104
356.61,-94
356.87,-95
357.14,-86
357.41,-105
357.67,-90
357.94,-85
358.2,-99
358.47,-124
358.73,-120
359,-121
359.26,-131
359.53,-110
359.8,-101
360.06,-115
360.33,-107
360.59,-90
360.86,-123
361.12,-125
361.39,-117
361.65,-84
361.92,-98
362.19,-130
362.45,-129
362.72,-138
362.98,-86
363.25,-106
363.51,-106
363.78,-110
364.04,-97
364.31,-133
364.57,-101
364.84,-79
365.11,-114
365.37,-89
365.64,-71
365.9,-96
366.17,-99
366.43,-78
366.7,-91
366.96,-134
367.23,-145
367.49,-108
367.76,-80
368.02,-108
368.29,-116
368.56,-107
368.82,-90
369.09,-97
369.35,-88
369.62,-114
369.88,-123
370.15,-83
370.41,-102
370.68,-118
370.94,-113
371.21,-104
371.47,-112
371.74,-97
372,-102
372.27,-95
372.53,-98
372.8,-74
373.06,-118
373.33,-121
373.6,-65
373.86,-111
374.13,-139
374.39,-80
374.66,-113
374.92,-107
375.19,-95
375.45,-109
375.72,-107
375.98,-125
376.25,-99
376.51,-114
376.78,-108
377.04,-104
377.31,-79
377.57,-117
377.84,-114
378.1,-144
378.37,-70
378.63,-117
378.9,-96
379.16,-80
379.43,-80
379.69,-91
379.96,-98
380.22,-113
380.49,-115
380.75,-131
381.02,-121
381.28,-85
381.55,-115
381.81,-139
382.08,-140
382.34,-128
382.61,-89
382.87,-108
383.14,-116
383.4,-111
383.67,-94
383.93,-80
384.2,-73
384.46,-109
384.73,-110
384.99,-94
385.26,-120
385.52,-99
385.78,-125
386.05,-97
386.31,-104
386.58,-93
